pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
0.0002309392409121635,0.00042499476163922114,0.00026027198173495073,0.0002358049628205837,0.000130223913581799,0.00042499476163922114,0.00044259564841169717,0.0005810778356249612
0.00011233218800490195,0.0003257395958916814,0.00017196815466378334,8.69431611658144e-05,8.143458965339465e-05,0.0001811705969923793,0.00018828130023864536,0.00010324850235424526
5.903785054115279e-05,0.00014320900798329658,0.00010962351470443831,3.0409905761701224e-05,2.6418474598366487e-05,7.726825563219386e-05,0.00012264635326701969,3.2815353335390274e-05
2.3004016981437377e-06,3.268586161741076e-06,2.372453773921665e-06,1.0078748408472349e-06,5.681581091470229e-07,1.218561802960971e-06,2.120717700861596e-06,2.081342330907192e-06
1.3171363586553054e-06,1.0772285094078644e-06,9.416915492764939e-07,3.6249422243055355e-07,2.179115449620833e-07,3.723344540678026e-07,1.2732174022077208e-06,1.184913064162967e-06
6.766662369141383e-07,3.7266821687726747e-07,2.5762368202941424e-07,8.108217606321517e-08,1.1341259549614334e-07,8.108217606321517e-08,6.878298109578027e-07,5.717432883348401e-07
